"key","message","comment","context"
"Invoice post task",,,
"Invoice pre task",,,
"Invoice.creditNoteNoAnnex",,,
"Invoice.draftInvoiceNoAnnex",,,
"Invoice.expenseProduct",,,
"Invoice.expenseTaxAmount",,,
"Invoice.expenseTitle",,,
"Invoice.expenseTotalAmount",,,
"Invoice.invoiceNoAnnex",,,
"Invoice.noPreviousProgress",,,
"Invoice.previousProgress",,,
"Invoice.progressAt",,,
"Invoice.purchaseCreditNoteNoAnnex",,,
"Invoice.purchaseInvoiceNoAnnex",,,
"Invoice.supplierReference",,,
"Invoice.timesheetActivity",,,
"Invoice.timesheetDuration",,,
"Invoice.timesheetTitle",,,
"Invoice.timesheetUser",,,
"InvoiceExpense.amount",,,
"InvoiceExpense.comments",,,
"InvoiceExpense.currency",,,
"InvoiceExpense.distance",,,
"InvoiceExpense.employee",,,
"InvoiceExpense.expenseDate",,,
"InvoiceExpense.expenseJustification",,,
"InvoiceExpense.expenseOnInvoice",,,
"InvoiceExpense.expenseType",,,
"InvoiceExpense.fromCity",,,
"InvoiceExpense.kap",,,
"InvoiceExpense.project",,,
"InvoiceExpense.task",,,
"InvoiceExpense.toCity",,,
"InvoiceExpense.total",,,
"InvoiceExpense.totalAmount",,,
"InvoiceExpense.totalTaxExpense",,,
"Invoiced",,,
"Invoiced last month",,,
"Invoiced this month",,,
"Invoices",,,
"Invoicing",,,
"Invoicing (excl. VAT)",,,
"Invoicing Expenses",,,
"Invoicing Purchases",,,
"Invoicing Type",,,
"Invoicing annex template",,,
"Invoicing business project",,,
"Invoicing business projects",,,
"Invoicing comment",,,
"Invoicing mode",,,
"Invoicing progress",,,
"Invoicing project",,,
"Invoicing project annex template",,,
"Invoicing project filters",,,
"Invoicing projects",,,
"Invoicing reports",,,
"Invoicing sequence",,,
"Invoicing timesheet",,,
"Invoicing unit",,,
"InvoicingProjectAnnex.activity",,,
"InvoicingProjectAnnex.annex",,,
"InvoicingProjectAnnex.businessProject",,,
"InvoicingProjectAnnex.code",,,
"InvoicingProjectAnnex.comments",,,
"InvoicingProjectAnnex.currency",,,
"InvoicingProjectAnnex.date",,,
"InvoicingProjectAnnex.deadline",,,
"InvoicingProjectAnnex.duration",,,
"InvoicingProjectAnnex.estimatedShippingDate",,,
"InvoicingProjectAnnex.expenseDate",,,
"InvoicingProjectAnnex.expenseType",,,
"InvoicingProjectAnnex.expenses",,,
"InvoicingProjectAnnex.invoiceGenerated",,,
"InvoicingProjectAnnex.invoiced",,,
"InvoicingProjectAnnex.name",,,
"InvoicingProjectAnnex.parentProject",,,
"InvoicingProjectAnnex.productName",,,
"InvoicingProjectAnnex.progress",,,
"InvoicingProjectAnnex.project",,,
"InvoicingProjectAnnex.projects",,,
"InvoicingProjectAnnex.purchaseOrder",,,
"InvoicingProjectAnnex.purchases",,,
"InvoicingProjectAnnex.qty",,,
"InvoicingProjectAnnex.sales",,,
"InvoicingProjectAnnex.status",,,
"InvoicingProjectAnnex.supplier",,,
"InvoicingProjectAnnex.task",,,
"InvoicingProjectAnnex.taskDate",,,
"InvoicingProjectAnnex.tasks",,,
"InvoicingProjectAnnex.timeSpent",,,
"InvoicingProjectAnnex.toInvoice",,,
"InvoicingProjectAnnex.totalATI",,,
"InvoicingProjectAnnex.totalAmountWT",,,
"InvoicingProjectAnnex.totalTax",,,
"InvoicingProjectAnnex.totalWT",,,
"InvoicingProjectAnnex.unit",,,
"InvoicingProjectAnnex.unitPriceATI",,,
"InvoicingProjectAnnex.unitPriceWT",,,
"InvoicingProjectAnnex.user",,,
"Landing",,,
"Log Times",,,
"Log Times Priority",,,
"Manage lines",,,
"Manual element",,,
"Manual elements",,,
"Month",,,
"My open tasks",,,
"Name",,,
"New progress","Nouvelle progression",,
"New task","Nouvelle tâche",,
"New ticket","Nouveau ticket",,
"No invoicing","Pas de facturation",,
"No project found for task %s.","Projet non trouvé pour la tâche %s.",,
"Non-blocking","Non bloquant",,
"None","Aucun",,
"Not invoiced","Non facturé",,
"Nothing has changed so no new task will be generated","Aucun changement, pas de nouvelle tâche générée",,
"On creation of an Invoicing project, attached Timesheet Lines and Teamtasks will be automatically set as to invoice regarding Status for invoice pre task tasks, Status for invoice post task tasks and Exclude tasks for invoicing field","A la création d'une facturation d'affaire, les lignes de temps passé et les tâches à facturer seront automatiquement ajoutées. Ce fonctionnement respecte les choix de statuts et les exclusions de tâches des configurations suivantes.",,
"On delivery (via business proj)","À la livraison (via l'affaire)",,
"On package (via task)","Forfait (via la tâche)",,
"On progress","À l'avancement",,
"On progress (via task)","Avancement (via la tâche)",,
"On spent time (via task)","Temps passé (via la tâche)",,
"Open task btn",,,
"Overview",,,
"PO line","Ligne Commande Achat",,
"PO.Quotation","Devis d'achat",,
"Packaged task invoicing","Facturation des taches (forfait)",,
"Paid","Payé",,
"Per category calendar","Par catégorie (calendrier)",,
"Per category kanban","Par catégorie (kanban)",,
"Per status calendar","Par statut (calendrier)",,
"Per status kanban","Par statut (kanban)",,
"Per user calendar","Par utilisateur (calendrier)",,
"Percentage",,,
"Planned Time Planning",,,
"Planned Times Total",,,
"Planned time",,,
"Planning",,,
"Please complete the order lines with at least one product type 'Service' and the supply mode 'Produce'","Merci de compléter les lignes de commande avec au moins un produit de type ‘Service’ et mode d'approvisionnement ‘Produire’",,
"Please fill printing settings on invoice ${invoiceId}.","Merci de remplir les paramètres d'impressions sur la facture ${invoiceId}.",,
"Please fill the company and the client partner before conversion.","Veuillez remplir la société et le client avant la conversion",,
"Please select lines","Sélectionner les lignes",,
"Previous progress","Ancienne progression",,
"Price list","Liste de prix",,
"Printings",,,
"Produced Turnover",,,
"Product",,,
"Production",,,
"Production orders",,,
"Products",,,
"Products held back",,,
"Products must be Service type and Method of Supply Produce.",,,
"Progress",,,
"Project",,,
"Project %s",,,
"Project Folder",,,
"Project Folders",,,
"Project Phase",,,
"Project Priority",,,
"Project Task Tree",,,
"Project Tasks","Tâches projet",,
"Project alone","Projet seul",,
"Project and task generation","Génération de projet et de tâches",,
"Project generation from sale orders","Génération de projet depuis les commandes clients",,
"Project generation method","Méthode de génération du projet",,
"Project generator type","Type de génération de projet",,
"Project history","Historique du projet",,
"Project hold back line list",,,
"Project in Invoice Lines",,,
"Project in Purchase order lines",,,
"Project in Sale order lines",,,
"Project planification and costs",,,
"Project status management",,,
"Project task",,,
"Project template",,,
"Project.amount",,,
"Project.analyticalAccount",,,
"Project.analyticalAxis",,,
"Project.analyticalLines",,,
"Project.chartCostPassedPerMonth",,,
"Project.chartCostRemainingPerMonth",,,
"Project.chartTimePassedPerMonth",,,
"Project.chartTimeRemainingPerMonth",,,
"Project.consumedTime",,,
"Project.costs",,,
"Project.currency",,,
"Project.customer",,,
"Project.date",,,
"Project.employee",,,
"Project.endDate",,,
"Project.expectedCosts",,,
"Project.expectedMargin",,,
"Project.expectedRevenue",,,
"Project.expense",,,
"Project.hourlyRate",,,
"Project.initial",,,
"Project.invoiceNumber",,,
"Project.invoiced",,,
"Project.manualElement",,,
"Project.manualElementTitle",,,
"Project.margin",,,
"Project.planned",,,
"Project.plannedPast",,,
"Project.plannedTime",,,
"Project.planning",,,
"Project.progress",,,
"Project.purchase",,,
"Project.purchaseOrderNumber",,,
"Project.realPassed",,,
"Project.remainInTheory",,,
"Project.remainPlanned",,,
"Project.result",,,
"Project.sales",,,
"Project.salesInvoice",,,
"Project.salesOrderNumber",,,
"Project.salesOrders",,,
"Project.sold",,,
"Project.spent",,,
"Project.subType",,,
"Project.synthesis",,,
"Project.taskName",,,
"Project.tasks",,,
"Project.time",,,
"Project.timesheet",,,
"Project.title",,,
"Project.total",,,
"Project.totalCostChart",,,
"Project.totalCosts",,,
"Project.totalHours",,,
"Project.totalMargin",,,
"Project.totalSales",,,
"Project.totalTimeChart",,,
"Project.totalTurnover",,,
"Project.turnover",,,
"Project.turnoverAndCostPerMonth",,,
"Project.type",,,
"Project.updated",,,
"ProjectTask.Costs",,,
"ProjectTask.Forecast",,,
"ProjectTask.Landing",,,
"ProjectTask.Margin",,,
"ProjectTask.Markup",,,
"ProjectTask.Package",,,
"ProjectTask.Real",,,
"ProjectTask.Sold",,,
"ProjectTask.Turnover",,,
"ProjectTask.exTaxTotal",,,
"Projects",,,
"Projects Folder",,,
"Projects financial report",,,
"Purchase",,,
"Purchase Order",,,
"Purchase order",,,
"Purchase order lines",,,
"Purchase order lines Priority",,,
"Purchases",,,
"Quantity must be greater than 0 for task template %s.",,,
"Quotation",,,
"Real",,,
"Real Costs Total",,,
"Real Margin (Invoicing)",,,
"Real Margin (Time)",,,
"Real costs",,,
"Real turnover",,,
"Realised",,,
"Realised Times Total",,,
"Reference",,,
"References",,,
"Refused",,,
"Related Invoice lines",,,
"Related Tasks",,,
"Related purchase order lines",,,
"Related purchase orders",,,
"Related sale order line",,,
"Remaining",,,
"Remaining amount is the subtraction of the spent time from the updated time on the task and all of it's sub tasks.",,,
"Remaining amount to do",,,
"Remove lines",,,
"Reporting",,,
"Reporting values for project with id %s.",,,
"Reset",,,
"SO line",,,
"Sale",,,
"Sale Order Lines",,,
"Sale order",,,
"Sale order (if existing)",,,
"Sale order lines",,,
"Sale order lines Priority",,,
"Sale quotation",,,
"Sales",,,
"See Linked Timesheet Lines","Voir les lignes de feuille de temps liées",,
"Select lines to add","Selectionnez des lignes à ajouter",,
"Select lines to unlink","Selectionnez des lignes à délier",,
"Select new lines","Ajouter des lignes",,
"Show expense lines","Voir les lignes de note de frais",,
"Show expense order lines related to the project","Afficher les lignes de notes de frais relatives au projet",,
"Show financial datas","Afficher données financières",,
"Show financial reports","Afficher rapports financiers",,
"Show planning","Afficher planification",,
"Show production orders","Voir les ordres de production",,
"Show production orders related to the project","Afficher les ordres de production relatifs au projet",,
"Show purchase invoice line related to the project","Afficher les lignes de factures fournisseurs relatives au projet",,
"Show purchase order lines","Voir les lignes d'achat",,
"Show purchase order lines related to the project","Afficher les lignes de commandes fournisseurs relatives au projet",,
"Show sale invoice line related to the project","Afficher les lignes de factures clients relatives au projet",,
"Show sale order lines","Voir les lignes de commande",,
"Show sale order lines related to the project","Afficher les lignes de commandes clients relatives au projet",,
"Since the invoice has already been generated, it's impossible to delete this record","Une facture ayant déjà été générée, il est impossible de supprimer cet enregistrement",,
"Site","Site",,
"Sold time","Temps devisé",,
"Sold time and updated time must be greater than 0 for task %s","Le temps devisé et le temps actualisé doivent être supérieurs à 0 pour la tâche %s.",,
"Sold time value error for project task %s.","Valeur erronée pour le temps devisé pour la tâche %s.",,
"Spent time","Temps passé",,
"Spent time actual cost computation method","Méthode de calcul des coûts réels des temps passés",,
"Standard (via order)","Standard (via le devis)",,
"Start date",,,
"Status","Statut",,
"Status for invoice post task tasks","Statut pour facturation post-tâche des tâches",,
"Status for invoice pre task tasks","Statut pour facturation pré-tâche des tâches",,
"Sub-project by line","Sous-projet par ligne",,
"Subject","Sujet",,
"Supplier Invoice lines","Lignes de factures fournisseur",,
"Supplier arrivals",,,
"Supplier contracts",,,
"Supplier invoice lines",,,
"Supplier invoices",,,
"TBD",,,
"Take charge",,,
"Task",,,
"Task %s",,,
"Task Invoicing",,,
"Task Priority",,,
"Task Tree",,,
"Task by line",,,
"Task by line using subtasks models",,,
"Task date",,,
"Task templates",,,
"Tasks",,,
"Tasks created by me",,,
"Tasks update completed:","Mise à jour des tâches effectuée",,
"Technical case","Dossier technique",,
"Template","Modèle",,
"The order line unit of the product %s is not compatible with the configuration.","L'unité de la ligne de commande du produit %s n'est pas compatible avec la configuration.",,
"The product was not found on the linked framework contract.","Le produit n'a pas été trouvé sur le contrat cadre lié.",,
"The storage unit of the product %s is not compatible with the configuration.","L'unité de stockage du produit %s n'est pas compatible avec la configuration.",,
"The timesheet product defined on the employee is not available on contracts linked to the task.","Le produit pour les temps passés défini à l’employé n’est pas présent sur l’un des contrats associés à la tâche.",,
"There is no customer for this project/task","Le projet/tâche sélectionné(e) ne contient pas de client",,
"These following tasks have follow-up percentages above 1000%% or remaining amount over 10000 %s. <br>","Les tâches suivantes ont des pourcentages supérieurs à 1000%% ou un reste à faire supérieur à 10000 %s. <br>",,
"This analytic distribution template will be filled with partner or assigned user configuration according to Business Project module configuration.","Ce modèle de distribution analytique sera rempli avec la configuration du partenaire ou de l'utilisateur attribué en fonction de la configuration du module gestion à l'affaire.",,
"This configuration allows you to group expenses by period on the project's invoice and to attach separate receipts for these expenses.","Cette configuration vous permet de grouper les frais par période sur la facture de l’affaire et de joindre les justificatifs séparés de ces frais",,
"This configuration allows you to select the rule to be applied when closing a project. Stay focus on selection for more information.","La configuration permet de sélectionner la règle à appliquer lors de la fermeture du projet. Placez le curseur au dessus de la sélection pour plus d'informations.",,
"This option allows you to link an order to a new or existing project.","Activer cette option permet de lier une commande à un projet nouveau ou existant.",,
"This will allow you to select a framework contract from which to retrieve the prices of products on tasks.","Cela vous permettra de sélectionner un contrat cadre où récupérer les prix des produits sur les tâches.",,
"This will determine the way of computing actual costs for time spent : Sale order (using sale order line's unitary cost), Product (using task product's cost price), or Employee (using Employee hourly rate). If Sale order is selected, then product's cost price will be used if there's no sale order line linked to the task.","Ce choix détermine la méthode de calcul des coûts réels pour les temps passés : Commande client (en utilisant le coût unitaire de la ligne de commande d'origine), Produit (en utilisant le coût de revient du produit renseigné sur la tâche), ou Employé (en utilisant le coût horaire de l'employé). Si la commande client est sélectionnée, en l'absence de ligne de commande liée à la tâche, le coût de revient du produit sera utilisé.",,
"Ticket",,,
"Time Spent","Temps passé",,
"Time follow up","Suivi des temps",,
"Time follow-up","Suivi des temps",,
"Time spent","Temps passé",,
"Timesheet Line",,,
"Timesheet line %s","Ligne de Feuille de temps %s",,
"Timesheet lines","Lignes de feuille de temps",,
"Title","Intitulé",,
"To Invoice","A facturer",,
"To be invoiceable, each element (task, timesheet, expenses, etc.) has to be set with the checkbox ""To invoice"" as True. These boolean buttons below will set newly created element with ""To invoice"" as True.","Pour être facturable, chaque élément (tâche, temps passés, notes de frais, etc.) doit avoir le champ ""A facturer"" coché. Les boutons ci-dessous vont pré-cocher automatiquement le champ ""A facturer"" sur les prochains éléments nouvellement créés.",,
"To invoice","Facturer",,
"To invoice with project","A facturer dans l'affaire",,
"Tools","Outils",,
"Topic","Sujet",,
"Total cost","Coût total",,
"Total invoiced","Total facturé",,
"Total paid","Total réglé",,
"Total paid (incl. VAT)","Total réglé (TTC)",,
"Totals have been updated","Les totaux ont été mis à jour.",,
"Transition between paid status","Passer les projets au statut payé",,
"Transition between paid status for projects","Passer les projets au statut payé",,
"Transition the project between paid status","Passe le projet au statut payé",,
"Tree view","Vue arbre",,
"Turnover W.T.","CA HT",,
"Type",,,
"Unit cost",,,
"Unit price discounted",,,
"Unlink selected lines",,,
"Update Tasks",,,
"Update tasks",,,
"Update to invoice",,,
"Updated tasks",,,
"Updated time",,,
"Updated timesheet lines",,,
"Use Analytic distribution from assigned user on project",,,
"Valid for fixed price tasks: it will be possible to choose (from the billing sequence of the case) which tasks to bill according to their status. The correspondences between invoicing sequences are in the configurations of the business module. For example, if you choose post-task, for completed tasks, the system will propose to invoice all completed tasks when invoicing the job.",,,
"Validated",,,
"Validated expenses",,,
"Ventilated",,,
"WARNING:",,,
"Waiting expenses",,,
"Week",,,
"When activated, this will add a new tab to the product form where you can select a task template that will be used when a task is generated in relation to the given product.",,,
"When this checkbox is true: will set field 'To invoice' as true by default on all expenses associated to the project.",,,
